id,genus_and_species,taxonomy_id,strain,superkingdom,phylum,org_class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,r16S_accssion,r16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
7585,Antricoccus suffuscus,1629062,C4-31,Bacteria,Actinobacteria,Actinobacteria,Frankiales,,Antricoccus,,62.8,,LN827957,57,4,30,,,30,26
7586,Paralcaligenes ginsengisoli,1636859,DCY104,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Paralcaligenes,,55.9,,KP401771,55.1,10,30,,,30,20
7587,Pseudomonas kribbensis,1628086,Feb-46,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_003352185.1,60.5,6.3,KT321658,53.8,4,30,,,30,26
7588,Pedobacter silvilitoris,1527678,W-WS1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,37.7,,KM229740,51.7,4,30,,,30,26
7589,Desulfoprunum benzoelyticum,1506996,KoBa311,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfoprunum,,52.3,,KJ766003,53.9,20,30,,,30,10
7590,Ruegeria meonggei,1446476,MA-E2-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,,58,,KF740534,54.9,4,30,,,30,26
7591,Hymenobacter swuensis,1446467,DY53,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,GCA_000576555.1,59.7,5.3,JX308618,55.3,4,30,,,30,26
7592,Vibrio astriarenae,1481923,C7,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,46.3,,KP342514,54.1,20,30,,,30,10
7593,Chryseobacterium artocarpi,1414727, UTM-3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,34.8,,KF751867,50.5,20,30,,,30,10
7594,Winogradskyella sediminis,1382466,S5-23-3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,,36.1,,KF312887,49.2,1,30,,,30,29
7595,Arthrobacter ginsengisoli,1356565,DCY81,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,,65.2,,KF212463,56.3,5,30,,,30,25
7596,Sulfitobacter noctilucae,1342302,NB-68 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,,58.3,,KC428716,53.7,4,30,,,30,26
7597,Ferruginibacter paludis,1310417,HME8881,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,,37.7,,KC690141,51.1,10,30,,,30,20
7598,Ferruginibacter yonginensis,1310416,HME8442,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,,35.8,,KC690144,50.6,10,30,,,30,20
7599,Hymenobacter marinus,1278057,KJ035,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,,61,,JX272928,55.3,10,30,,,30,20
7600,Flavobacterium oryzae,1237076,Jyi-05,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.2,,HE997061,50.7,10,30,,,30,20
7601,Labrys soli,1233475,DCY64,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,,63,,JX315532,55.3,25,30,,,30,5
7602,Taeseokella kangwonensis,1230648,HME8275,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Taeseokella,,37.6,,JX426065,50.3,20,30,,,30,10
7603,Pedobacter rivuli,1191371,HME8457,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,33.3,,JQ911707,50.4,15,30,,,30,15
7604,Mucilaginibacter aquaedulcis,1187081,PGW1-R01,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,39.4,,JQ670938,50.9,15,30,,,30,15
7605,Spirosoma montaniterrae,1178516, DY10,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,GCA_001988955.1,52.7,5.8,JQ958375,55.7,10,30,,,30,20
7606,Paenibacillus swuensis,1178515,DY6,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_001644605.1,48.9,5,JQ958374,54.9,10,30,,,30,20
7607,Flavobacterium hankyongi,1176532, KTCe-4,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.2,,JQ349044,50.8,18,30,,,30,12
7608,Prosthecobacter algae,1144682, EBTL04,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,,62.7,,JQ319004,53.6,15,30,,,30,15
7609,Luteolibacter yonseiensis,1144680,EBTL01,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,,56.3,,JQ319003,55,10,30,,,30,20
7610,Lysobacter hankyongensis,1176535,KTCe-2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,68.6,,JQ349049,56.2,10,30,,,30,20
7611,Hirschia maritima,1121961,GSW-2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,,44.5,,FM202386,52.5,10,30,,,30,20
7612,Herbidospora soli,1070425,PS42-9,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Herbidospora,,71.5,,AB649125,59.6,15,30,,,30,15
7613,Maribacter chungangensis,1069117,CAU 1044,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,,40.2,,JN036550,52.7,4,30,,,30,26
7614,Klenkia soli,1052260,PB34,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Klenkia,,73.2,,JN033772,58.6,4,30,,,30,26
7615,Klenkia terrae,1052259,PB261,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Klenkia,,74.1,,JN033773,58.4,4,30,,,30,26
7616,Fimbriimonas ginsengisoli,1005039,Gsoil 348,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,GCA_000724625.1,60.8,5.2,GQ339893,55.6,15,30,,,30,15
7617,Cohnella cellulosilytica,986710,FCN3-3,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,,58,,HQ704069,56.6,15,30,,,30,15
7618,Mucilaginibacter flavus,931504,HME6839,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,41.2,,HQ449707,50.6,10,30,,,30,20
7619,Arenibacter algicola,616991,TG-409,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,GCA_002234495.1,,5.9,FJ176555,53.1,10,30,,,30,20
7620,Parasediminibacterium paludis,908966,HME6815,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Parasediminibacterium,,38.4,,HQ231219,51,25,30,,,30,5
7621,Actinomycetospora rishiriensis,878212,RI109-Li102,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,,73.1,,AB581530,59.7,10,30,,,30,20
7622,Mucilaginibacter soyangensis,869397,HME6664,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,40.8,,HM590829,50.2,10,30,,,30,20
7623,Streptomyces chiangmaiensis,766497,TA4-1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,69.2,,AB562507,59.6,20,30,,,30,10
7624,Micromonospora humi,745366,P0402,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,,73,,GU459068,60.1,20,30,,,30,10
7625,Granulicella cerasi,741063,Sakura1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,,61.2,,AB548308,54,10,30,,,30,20
7626,Marivita roseacus,692487,CB1052,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita,,59.6,,GU137308,54.3,10,30,,,30,20
7627,Chryseobacterium yonginense,658267,HMD1043,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,31.3,,GQ259742,49.8,4,30,,,30,26
7628,Paracoccus caeni,657651,MJ17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,58.7,,GQ250442,55.1,25,30,,,30,5
7629,Algoriphagus taeanensis,649201,HMC4223,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,48.4,,FJ986206,55.1,20,30,,,30,10
7630,Mucilaginibacter myungsuensis,649104,HMD1056,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,46.9,,GQ144415,51.1,10,30,,,30,20
7631,Allocatelliglobosispora scoriae,643052,Sco-B14,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Allocatelliglobosispora,,70.1,,FN386736,58.7,20,30,,,30,10
7632,Aeromonas aquatica,558964,AE235,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,HG970952,55.8,15,30,,,30,15
7633,Soonwooa buanensis,619805,HM0024,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Soonwooa,,29.6,,FJ713810,49.6,15,30,,,30,15
7634,Aeromonas lacus,558884,AE122,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,HG970953,55.7,15,30,,,30,15
7635,Fretibacter rubidus,570162,JC2236,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Fretibacter,,49.3,,JQ965646,52.9,15,30,,,30,15
7636,Mycobacterium stomatepiae,470076,T11,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,,,AM884331,58.5,22,30,,,30,8
7637,Thiorhodococcus modestalkaliphilus,527199,JA395,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiorhodococcus,,57.8,,AM993156,56.1,25,30,,,30,5
7638,Paenibacillus pectinilyticus,512399,RCB-08,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,51.5,,EU391157,54.2,15,30,,,30,15
7639,Coralibacter albidoflavus,499064,04OKA-3-121,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Coraliitalea,,38.8,,LC260147,57.4,25,30,,,30,5
7640,Hydrogenophaga carboriunda,480473,YZ2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,,66.4,,EU095331,54.2,4,30,,,30,26
7641,Acanthopleuribacter pedis,442870,FYK2218,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,,56.7,,AB303221,56,15,30,,,30,15
7642,Clostridium aestuarii,338193,HY-45-18,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,,,DQ126679,53.1,15,30,,,30,15
7643,Brevibacterium marinum,418643,HFW-26,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,,71.4,,AM421807,57.2,10,30,,,30,20
7644,Nocardioides panacihumi,400774,Gsoil 616,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,73,,AB271053,58.5,15,30,,,30,15
7645,Pedobacter daechungensis,398054,Dae 13,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,33.8,,AB267722,51.5,15,30,,,30,15
7646,Salinicoccus jeotgali,381634,S2R53-5,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,,47,,DQ471329,56.1,20,30,,,30,10
7647,Methylobacterium jeotgali,381630,S2R03-9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,,64.9,,DQ471331,56.7,20,30,,,30,10
7648,Flammeovirga kamogawensis,373891,YS10,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,,32.5,,AB251933,52.1,15,30,,,30,15
7649,Aeromicrobium ginsengisoli,363867,Gsoil 098,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,,66.8,,AB245394,57.4,4,30,,,30,26
7650,Aeromicrobium panaciterrae,363861,Gsoil 161,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,,65.5,,AB245387,57.6,15,30,,,30,15
7651,Ferrimonas futtsuensis,364764, FUT3661,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,,58.1,,AB245515,54.4,15,30,,,30,15
7652,Polaromonas ginsengisoli,363842,Gsoil 115,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,,60.9,,AB245355,52.8,10,30,,,30,20
7653,Geobacter bemidjiensis,225194,Bem,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,GCA_000020725.1,,4.6,AY187307,54.4,4,30,,,30,26
7654,Desulfotignum phosphitoxidans,190898,FiPS-3,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum,,53.9,,AF420288,52.8,15,30,,,30,15
7655,Nocardiopsis metallicus,179819,DSM 44598,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,70.8,,AJ420769,58.3,10,30,,,30,20
7656,Spiroplasma poulsonii,2138,DW-1,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,,26,,M24483,49.4,26,30,,,30,4
7657,Mycoplasma mobile,2118, 163K,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,GCA_000008365.1,25,0.8,M24480,46.7,17,30,,,30,13
7658,Enterobacter mori,539813, R18-2,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,,55.1,,EU721605,55.1,20,28,,,30,10
7659,Rubellimicrobium rubrum,2585369,YIM 131921,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,,66.6,,MK610812,58.4,20,28,,,30,10
7660,Nocardia zhihengii,2213111,YIM TG2190,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,,61.1,,MG575903,57.7,4,28,,,30,26
7661,Neorhizobium tomejilense,2093828,HAMBI 540,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,,61.5,,MH064335,55.2,12,28,,,30,18
7662,Actinophytocola glycyrrhizae,2044873,BMP B8152,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,,70.2,,MG190031,58.3,15,28,,,30,15
7663,Roseovarius ramblicola,2022336,D15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,63,,MF527111,56.5,5,28,,,30,25
7664,Nocardioides litoris,1926648,002-2,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,68.8,,KY244027,58.2,10,28,,,30,20
7665,Fuerstia marisgermanicae,1891926,NH11,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstia,GCA_001983935.1,55.9,8.9,KX757851,54.4,20,28,,,30,10
7666,Paenibacillus ihbetae,1870820,IHBB 9852,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_002741055.1,52.1,6.6,KP745129,54.6,5,28,,,30,25
7667,Terrimonas crocea,1867851,M1-33108,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,,45,,KX139009,50.8,4,28,,,30,26
7668,Delftia rhizosphaerae,1915059,RA6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,,66.4,,KY075818,54.4,4,28,,,30,26
7669,Anaerosporomusa subterranea,1794912,RU4,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaerosporomusa,,52,,KX268498,54.7,24,28,,,30,6
7670,Pseudomonas versuta,1788301,L10.10,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_001294575.1,58.2,5.1,KC433618,53.2,4,28,,,30,26
7671,Microlunatus nigridraconis,1710544,CPCC 203993,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,,64,,KT694343,58.1,15,28,,,30,15
7672,Flavobacterium terriphilum,1706838,CUG00004,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,36.3,,KT592306,51.8,4,28,,,30,26
7673,Nocardia camponoti,1616106,1H-HV4,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,,68.7,,KP784782,57.2,15,28,,,30,15
7674,Devosia humi,1591105,THG-MM1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,63.7,,KM598259,56.1,18,28,,,30,12
7675,Flavobacterium vireti,1582803,THG-SM1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,38.5,,KM576853,50.7,25,28,,,30,5
7676,Frankia coriariae,1562887,BMG5.1,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,,70.2,,KY066449,60.2,25,28,,,30,5
7677,Aureisphaera galaxeae,1538023,04OKA003-7,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureisphaera,,41,,AB983370,54,20,28,,,30,10
7678,Rhodopirellula caenicola,1536901,YM26-125 ,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,,57.5,,AB983339,54.4,20,28,,,30,10
7679,Wenyingzhuangia gracilariae,1536900,N5DB13-4 ,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Wenyingzhuangia,,34.1,,AB983340,49.4,20,28,,,30,10
7680,Bradyrhizobium valentinum,1518501,LmjM3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,JX514883,55.7,14,28,,,30,16
7681,Streptomyces fuscigenes,1528880,JBL-20,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,72.4,,AB980255,58.9,4,28,,,30,26
7682,Microbacterium halimionae,1526413,PA36,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,,61.7,,KJ920278,55.4,10,28,,,30,20
7683,Microbacterium endophyticum,1526412,PA15,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,,61.7,,KJ920264,55.3,10,28,,,30,20
7684,Undibacterium seohonense,1344950,SHS5-24,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,,,,KC735151,52.2,10,28,,,30,20
7685,Halobacillus sediminis,1517559,NGS-2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,45,,AB971838,55.5,10,28,,,30,20
7686,Frondibacter aureus,1495146,A5Q-67,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Frondibacter,,36.7,,AB932598,49.6,25,28,,,30,5
7687,Flavobacterium gilvum,1492737,EM1308,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_001761465.1,35.2,4.4,KX037100,51,4,28,,,30,26
7688,Wenyingzhuangia heitensis,1487859,H-MN17,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Wenyingzhuangia,,31.8,,AB924513,49.1,25,28,,,30,5
7689,Sphingomonas panaciterrae,1462999,DCY91,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,65.8,,KF915801,54.1,20,28,,,30,10
7690,Sphingobacterium rhinocerotis,1453594,YIM 101302,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,38.9,,KJ190943,50.5,5,28,,,30,25
7691,Saccharopolyspora cavernae,1387985,YIM C01235,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,,69.1,,KF177334,59.3,10,28,,,30,20
7692,Algisphaera agarilytica,1385975,06SJR6-2,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Algisphaera,,63,,AB845176,53.5,20,28,,,30,10
7693,Sporosarcina siberiensis,1365606,1111S-42,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,,39,,KF258678,54.8,4,28,,,30,26
7694,Cnuella takakiae,1302690,RG1-1,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Cnuella,,49.1,,KC560021,53.3,20,28,,,30,10
7695,Chryseobacterium polytrichastri,1302687,YG4-6,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,37.3,,KC560018,50.1,4,28,,,30,26
7696,Mesorhizobium calcicola,1300310,ICMP 19560,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,,62.6,,KC237408,55.4,15,28,,,30,15
7697,Bradyrhizobium retamae,1300035,Ro19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,61.5,,KC247085,55.7,14,28,,,30,16
7698,Humibacter antri,1280375,D7-27,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Humibacter,,66.3,,HF570028,56.9,20,28,,,30,10
7699,Frondihabitans sucicola,1268041,GRS42,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Frondihabitans,,65.4,,JX876867,55.9,4,28,,,30,26
7700,Chryseobacterium ginsengiterrae,1245592,DCY78,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,37.9,,JX827729,50.7,10,28,,,30,20
7701,Lacinutrix iliipiscaria,1230532,Th68,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,,33,,JX412960,48.5,16,28,,,30,14
7702,Nocardia aciditolerans,1224718,CSCA68,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,,71.3,,AM402972,57.5,10,28,,,30,20
7703,Paraoerskovia sediminicola,1138587,H25-14,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Paraoerskovia,,73.2,,AB695378,57.7,10,28,,,30,20
7704,Rhizobium aethiopicum,1138170,HBR26,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,61,,NR_149191,54.9,15,28,,,30,15
7705,Promicromonospora iranensis,1105144,HM 792,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,,,,JN038073,57.5,25,28,,,30,5
7706,Sphingobium cupriresistens,1132417,CU4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,64.9,,JQ046313,54.9,4,28,,,30,26
7707,Gordonia alkaliphila,1053547,CJ10,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,,67.7,,JN008111,57.7,20,28,,,30,10
7708,Rhizobium pongamiae,927702,VKLR-01,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,,,GQ444136,54.6,25,28,,,30,5
7709,Bradyrhizobium arachidis,858423,CCBAU 051107,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,60.1,,HM107167,55.4,20,28,,,30,10
7710,Rubellimicrobium roseum,687525,YIM 48858,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,,67.7,,GU109478,57.6,25,28,,,30,5
7711,Auraticoccus monumenti,675864,MON 2.2,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Auraticoccus,,73.5,,FN552748,57.6,15,28,,,30,15
7712,Dactylosporangium luridum,649008,BK63,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,,70,,FJ973605,59.3,20,28,,,30,10
7713,Dactylosporangium luteum,649007,BK51 ,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,,74,,FJ973604,59.3,15,28,,,30,15
7714,Sphingomonas xinjiangensis,643568,10-1-84 ,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,63.3,,FJ754464,54.1,17,28,,,30,13
7715,Sphingobium subterraneum,627688,S-II-13,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,63.5,,FJ796422,53.5,15,28,,,30,15
7716,Paralcaligenes ureilyticus,627131,GR24-5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Paralcaligenes,,55.1,,FJ793551,54.9,10,28,,,30,20
7717,Methylobacterium gossipiicola,582675,Gh-105,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,,64.2,,EU912445,57,20,28,,,30,10
7718,Mucilaginibacter gossypii,551996,Gh-67,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,GCA_003286435.2,42.7,7.6,EU672804,51,20,28,,,30,10
7719,Mucilaginibacter gossypiicola,551995,Gh-48,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,44.2,,EU672805,50.6,20,28,,,30,10
7720,Oleispira lenta,555883,DFH11,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oleispira,,42.7,,EU980447,52.4,0,28,,,30,30
7721,Streptomyces baliensis,542764,ID03-0915,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,71.1,,AB441718,59,10,28,,,30,20
